fluid_id,height_cm,time_min,concentration,ROA,adensante,dens_susp,dens_solids,teor_solids,dp_medio,m,n
5,0.5,1.0,0.042060608228949574,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,2.0,0.06026235200465218,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,3.0,0.06561215632787105,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,5.0,0.06687109729830971,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,6.0,0.0662562674925577,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,7.0,0.06785679387956552,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,8.0,0.06552907843986452,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,10.0,0.06666571995724196,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,12.0,0.06861481594741782,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,13.0,0.06789050619838895,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,14.0,0.06661828237260724,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,15.0,0.06894092890037656,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,16.0,0.06608709679731778,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,19.0,0.06905317280653539,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,20.0,0.06761724511072424,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,21.0,0.07044961208914086,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,22.0,0.06835001414299417,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,23.0,0.06899846693644375,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,26.0,0.06852852305548161,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,27.0,0.06538306148120683,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,28.0,0.06883993522677487,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,29.0,0.06814008392991679,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,33.0,0.07089522562119711,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,34.0,0.06847185571984347,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
